imgUrl,title,author,length,releaseDate,language,rating,price,sampleVideo
https://m.media-amazon.com/images/I/513mpmG7JlL._SL500_.jpg,Monsters Mayhem & Misfits 6,Jack Spry,8 hrs and 25 mins,09-17-24,English,1 rating,$46.19,https://samples.audible.com/bk/royg/000720/bk_royg_000720_sample.mp3
https://m.media-amazon.com/images/I/51OX4jWM1sL._SL500_.jpg,Reentry,Eric Berger,12 hrs and 59 mins,09-24-24,English,Not rated yet,$25.00,
https://m.media-amazon.com/images/I/41l7VJNWWwL._SL500_.jpg,Irreplaceable,Pascal Bornet,8 hrs,10-08-24,English,Not rated yet,$17.49,
https://m.media-amazon.com/images/I/51iCLFa0e3L._SL500_.jpg,Save Me,Tiffany Patterson,11 hrs and 23 mins,09-19-24,English,2 ratings,$24.95,https://samples.audible.com/bk/acx0/412016/bk_acx0_412016_sample.mp3
https://m.media-amazon.com/images/I/51NzFzHTnmL._SL500_.jpg,All Too Well,Corinne Michaels,8 hrs and 48 mins,09-18-24,English,41 ratings,$19.95,https://samples.audible.com/bk/acx0/411284/bk_acx0_411284_sample.mp3
https://m.media-amazon.com/images/I/51u-d24pMGL._SL500_.jpg,The Academy,Patrick Bet-David,11 hrs and 45 mins,10-22-24,English,Not rated yet,$27.99,
https://m.media-amazon.com/images/I/51wyWoe1yRL._SL500_.jpg,Mana Knight,Morgan Ranger,10 hrs,09-17-24,English,8 ratings,$48.99,https://samples.audible.com/bk/royg/000715/bk_royg_000715_sample.mp3
https://m.media-amazon.com/images/I/41iKs2o9tSL._SL500_.jpg,Dialed In,Jim Ramos,6 hrs and 40 mins,09-18-24,English,Not rated yet,$20.97,https://samples.audible.com/bk/onea/001446/bk_onea_001446_sample.mp3
https://m.media-amazon.com/images/I/51aNqyPQLPL._SL500_.jpg,Arran's Obsession,Jolie Vines,12 hrs and 32 mins,09-19-24,English,5 ratings,$24.95,https://samples.audible.com/bk/acx0/407808/bk_acx0_407808_sample.mp3
https://m.media-amazon.com/images/I/41vOfv3+P9L._SL500_.jpg,The Small and the Mighty,Sharon McMahon,10 hrs and 13 mins,09-24-24,English,Not rated yet,$20.25,
https://m.media-amazon.com/images/I/51I9C43-wlL._SL500_.jpg,Targeted: Beirut,Jack Carr,14 hrs and 18 mins,09-24-24,English,Not rated yet,$22.49,
https://m.media-amazon.com/images/I/51lTj4ci4EL._SL500_.jpg,Disney Frozen: Olaf's Quest,Disney Press,2 hrs and 22 mins,09-19-24,English,19 ratings,$18.36,https://samples.audible.com/or/orig/002326/or_orig_002326_sample.mp3
https://m.media-amazon.com/images/I/419s1wOakHL._SL500_.jpg,Protocols,Andrew D. Huberman Ph.D.,10 hrs,04-22-25,English,Not rated yet,$20.01,
